Programa,SEXO,NEM,PAES,ICA,Q1_MDV1,Q1_MDV2,Q1_MDV3,Q1_MDV4,Q1_MDV5,Q1_D1,Q1_MDF1,Q1_MDF2,Q1_MDF3,Q1_MDF4,Q1_MDF5,Q2_MDS1,Q2_MDS2,Q2_MDS3,Q2_MDS4,Q2_MDS5,Q2_D1,Q2_MDG1,Q2_MDG2,Q2_MDG3,Q2_MDG4,Q2_MDG5,Q3_MDI1,Q3_MDI2,Q3_MDI3,Q3_MDI4,Q3_D1,Q3_MDE1,Q3_MDE2,Q3_MDE3,Q3_MDE4,Q4_S1,Q4_S2,Q4_S3,Q4_S4,Q4_S5,Q4_S6,Q4_S7,Q4_S8,Q5_BA1,Q5_BA2,Q5_BA3,Q5_BP1,Q5_BP2,Q5_BS1,Q5_BS2,Q5_BF1,Q5_BF2,Q5_I1,Q5_I2,Q6_A1,Q6_A2,Q6_A3,Q6_B1,Q6_B2,Q6_B3,Q7_A1,Q7_A2,Q7_A3,Q7_A4,Q7_A5,Q7_B1,Q8_EM1,Q8_EM2,Q8_EM3,Q8_EM4,Q9_E1,Q9_E2,Q9_E3
Administration,male,785,705,4959,3,2,4,4,4,1,1,2,1,4,3,3,3,4,4,3,1,2,2,2,4,3,4,4,1,3,4,1,1,2,2,2,1,3,1,1,4,2,1,3,3,3,1,1,4,4,1,1,4,2,3,4,4,2,1,1,2,4,4,4,3,2,4,2,4,4,4,4,4
Administration,female,937,834,6398,2,2,4,2,2,1,2,3,3,3,3,2,2,3,2,2,1,2,3,2,2,2,4,2,3,2,4,1,3,3,4,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,2,4,4,3,2,1,1,2,3,3,3,3,3,4,1,4,4,2,2,1
Administration,male,765,678,581,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,1,2,2,2,2,1,3,3,3,3,3,3,1,3,2,3,1,3,2,3,2,2,2,3,2,2,2,2,1,2,2,3,2,2,1,1,1,4,1,3,1,1,1,1,1,1,2,2,3,2,2,2,3
Engineering,male,808,722,630,3,4,4,4,3,1,2,3,3,3,4,3,3,3,3,2,1,3,3,2,3,4,4,3,2,2,3,2,1,3,3,3,2,1,2,1,2,1,2,3,2,3,3,3,2,3,1,2,3,3,3,3,3,4,3,4,1,2,2,1,1,1,2,1,2,2,2,1,2
Administration,male,799,648,4109,1,1,1,1,2,3,2,2,1,2,1,1,2,2,2,1,2,1,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,1,3,3,3,3,3,3,4,4,4,1,1,1,4,4,4,4,4,4,4,1,4,1,4,4,4
Engineering,male,814,798,3691,1,2,3,1,1,1,3,3,2,4,4,1,1,3,2,1,1,3,3,3,3,4,4,1,4,2,2,1,1,4,1,1,1,1,1,1,4,1,3,3,2,3,1,1,2,3,3,1,3,1,3,1,3,2,2,2,1,3,1,3,1,3,2,2,2,1,3,2,2
Administration,male,771,747,6398,3,2,1,3,4,4,2,2,3,3,2,3,1,2,4,4,2,3,4,4,2,4,2,3,2,4,4,1,3,3,2,1,1,2,4,2,2,3,1,1,4,1,3,2,2,4,4,1,2,3,2,4,2,3,3,4,1,3,2,4,2,3,3,2,4,1,4,2,3
Administration,male,765,717,630,2,3,3,2,1,1,2,2,2,2,3,2,2,3,3,1,1,2,2,2,2,3,2,2,2,2,3,1,2,2,3,2,1,2,3,1,3,2,3,3,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,2,3,2,4,3,2,4,2,3,3,2,3,2
Administration,male,799,682,5908,3,4,2,3,2,1,1,1,2,1,2,4,4,2,2,2,1,1,1,2,1,2,4,2,3,2,4,1,1,2,2,1,1,2,3,1,2,1,3,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,3,3,2,3,1,2,1,3,4,3,2,2
Engineering,male,870,796,670,1,1,2,1,1,1,3,3,2,4,4,4,4,3,4,4,4,2,2,3,1,1,4,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,1,1,2,1,2,2,2,2,2,2,3,2,2,3,2,1,3,3,3,3,3,3,2
